applicant_id,age,gender,race,income,credit_score,loan_approved
1001,28,Male,White,85000,720,1
1002,34,Female,Hispanic,82000,715,0
1003,45,Male,White,105000,750,1
1004,29,Male,Black,84000,718,0
1005,52,Female,White,110000,780,1
1006,31,Male,Asian,95000,740,1
1007,27,Female,Black,78000,690,0
1008,39,Male,Hispanic,88000,710,0
1009,41,Female,Asian,102000,760,1
1010,33,Male,White,92000,730,1
1011,26,Male,Black,75000,695,0
1012,38,Female,White,98000,745,1
1013,44,Male,Hispanic,105000,725,0
1014,30,Female,Asian,89000,735,1
1015,50,Male,White,120000,800,1
1016,29,Female,Black,81000,715,0
1017,35,Male,White,88000,725,1
1018,42,Female,Hispanic,95000,730,0
1019,28,Male,Asian,82000,710,1
1020,47,Female,White,115000,775,1
